"","Parameter","Value","0. CONJ better %","1. W1DF - CONJ is 0% to 5%","2. W1DF - CONJ is 5% to 10%","3. W1DF - CONJ is 10% to 20%","4. W1DF - CONJ is > 20%","n"
"1","K","10","0.9%","4.6%","7.3%","22.4%","64.7%",7500
"2","K","4","1.5%","4.0%","7.5%","18.3%","68.6%",7500
"3","K","6","1.0%","3.3%","4.8%","15.5%","75.5%",7500
"4","K","8","1.0%","3.2%","5.5%","16.3%","74.0%",7500
"5","RhoCase","rho01 < rho02","1.8%","5.2%","7.9%","20.2%","64.9%",12000
"6","RhoCase","rho01 = rho02","0.0%","0.4%","5.1%","19.4%","75.1%",6000
"7","RhoCase","rho01 > rho02","1.0%","4.1%","5.3%","15.4%","74.2%",12000
"8","eff2minus1_group","-","1.9%","6.9%","10.2%","27.9%","53.1%",6000
"9","eff2minus1_group","0","0.3%","12.3%","14.1%","28.1%","45.3%",1500
"10","eff2minus1_group","0.05 to 0.19","2.8%","5.7%","10.1%","24.8%","56.6%",7500
"11","eff2minus1_group","0.20 to 0.29","0.1%","1.8%","4.4%","16.7%","77.0%",6000
"12","eff2minus1_group","0.30 to 0.39","0.0%","0.0%","1.0%","9.3%","89.6%",4500
"13","eff2minus1_group","0.40 to 0.49","0.0%","0.0%","0.0%","1.5%","98.5%",4500
"14","m","100","1.4%","4.2%","6.2%","17.4%","70.9%",10000
"15","m","50","0.9%","3.3%","6.4%","19.0%","70.4%",10000
"16","m","70","1.1%","3.9%","6.3%","18.0%","70.7%",10000
"17","rho1","0.005","0.0%","0.3%","1.1%","6.8%","91.8%",6000
"18","rho1","0.01","0.0%","0.4%","1.2%","7.8%","90.7%",6000
"19","rho1","0.02","0.0%","0.4%","1.3%","12.7%","85.6%",6000
"20","rho1","0.05","0.0%","2.2%","11.9%","37.2%","48.7%",6000
"21","rho1","0.07","5.6%","15.6%","16.0%","26.2%","36.7%",6000
"22","rho2","0.1","0.4%","2.5%","5.7%","17.8%","73.6%",6000
"23","rho2","0.3","0.8%","3.2%","5.9%","17.8%","72.4%",6000
"24","rho2","0.5","1.2%","3.8%","5.9%","18.1%","71.0%",6000
"25","rho2","0.7","1.3%","4.4%","6.8%","18.2%","69.2%",6000
"26","rho2","0.9","1.9%","5.1%","7.1%","18.7%","67.2%",6000
