"","group_id","beta1beta2","beta2minus1","varY1varY2","var2minus1","rho01rho02","rho02minus01","method2","method2, method3","method3","method3, method4_Chi2","method4_Chi2","method5_MVN","n"
"38",50,"(0.3, 0.4)",0.1,"(1, 1)",0,"(0.1, 0.1)",0,"0%","100% (n = 300)","0%","0%","0%","0%",300
"39",70,"(0.3, 0.4)",0.1,"(1, 1)",0,"(0.07, 0.1)",0.03,"100% (n = 300)","0%","0%","0%","0%","0%",300
"40",90,"(0.3, 0.4)",0.1,"(1, 1)",0,"(0.05, 0.1)",0.05,"3% (n = 8)","1% (n = 2)","80% (n = 241)","0%","0%","16% (n = 49)",300
"41",34,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"89% (n = 267)","0%","0%","0%","11% (n = 32)","0% (n = 1)",300
"42",14,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.1, 0.07)",-0.03,"98% (n = 295)","0% (n = 1)","1% (n = 3)","0%","0%","0% (n = 1)",300
"43",54,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.1, 0.1)",0,"0%","0%","100% (n = 300)","0%","0%","0%",300
"44",74,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.07, 0.1)",0.03,"0%","0%","100% (n = 300)","0%","0%","0%",300
"45",94,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,"0%","0%","81% (n = 243)","0%","19% (n = 57)","0%",300
"46",38,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.1, 0.05)",-0.05,"11% (n = 32)","1% (n = 3)","72% (n = 217)","0%","0%","16% (n = 48)",300
"47",18,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.1, 0.07)",-0.03,"0%","0%","99% (n = 297)","0%","0%","1% (n = 3)",300
"48",58,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.1, 0.1)",0,"0%","0%","100% (n = 300)","0%","0%","0%",300
"49",78,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.07, 0.1)",0.03,"0%","0%","83% (n = 250)","0%","17% (n = 50)","0%",300
"50",98,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.05, 0.1)",0.05,"0%","0%","61% (n = 183)","0%","39% (n = 117)","0%",300
"51",27,"(0.2, 0.4)",0.2,"(1.5, 0.5)",-1,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","100% (n = 300)","0%",300
"52",7,"(0.2, 0.4)",0.2,"(1.5, 0.5)",-1,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","100% (n = 300)","0%",300
"53",47,"(0.2, 0.4)",0.2,"(1.5, 0.5)",-1,"(0.1, 0.1)",0,"0%","0%","0%","0%","100% (n = 300)","0%",300
"54",67,"(0.2, 0.4)",0.2,"(1.5, 0.5)",-1,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","100% (n = 300)","0%",300
"55",87,"(0.2, 0.4)",0.2,"(1.5, 0.5)",-1,"(0.05, 0.1)",0.05,"0%","0%","5% (n = 15)","0%","95% (n = 285)","0%",300
"56",23,"(0.2, 0.4)",0.2,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","100% (n = 300)","0%",300
"57",3,"(0.2, 0.4)",0.2,"(1, 0.5)",-0.5,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","100% (n = 300)","0%",300
"58",43,"(0.2, 0.4)",0.2,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,"0%","0%","2% (n = 6)","0%","98% (n = 294)","0%",300
"59",63,"(0.2, 0.4)",0.2,"(1, 0.5)",-0.5,"(0.07, 0.1)",0.03,"0%","0%","15% (n = 44)","0% (n = 1)","85% (n = 255)","0%",300
"60",83,"(0.2, 0.4)",0.2,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,"0%","0%","40% (n = 120)","0%","60% (n = 180)","0%",300
"61",31,"(0.2, 0.4)",0.2,"(1, 1)",0,"(0.1, 0.05)",-0.05,"0%","0%","5% (n = 14)","0%","95% (n = 286)","0%",300
"62",11,"(0.2, 0.4)",0.2,"(1, 1)",0,"(0.1, 0.07)",-0.03,"0%","0%","41% (n = 124)","0%","59% (n = 176)","0%",300
"63",51,"(0.2, 0.4)",0.2,"(1, 1)",0,"(0.1, 0.1)",0,"0%","64% (n = 193)","0%","0%","36% (n = 107)","0%",300
"64",71,"(0.2, 0.4)",0.2,"(1, 1)",0,"(0.07, 0.1)",0.03,"79% (n = 238)","0%","0%","0%","21% (n = 62)","0%",300
"65",91,"(0.2, 0.4)",0.2,"(1, 1)",0,"(0.05, 0.1)",0.05,"81% (n = 242)","0%","0%","0%","19% (n = 58)","0%",300
"66",35,"(0.2, 0.4)",0.2,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"60% (n = 181)","0%","0%","0%","40% (n = 119)","0%",300
"67",15,"(0.2, 0.4)",0.2,"(0.5, 1)",0.5,"(0.1, 0.07)",-0.03,"81% (n = 243)","0%","0%","0%","19% (n = 57)","0%",300
"68",55,"(0.2, 0.4)",0.2,"(0.5, 1)",0.5,"(0.1, 0.1)",0,"100% (n = 300)","0%","0%","0%","0%","0%",300
"69",75,"(0.2, 0.4)",0.2,"(0.5, 1)",0.5,"(0.07, 0.1)",0.03,"89% (n = 268)","0%","11% (n = 32)","0%","0%","0%",300
"70",95,"(0.2, 0.4)",0.2,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,"12% (n = 36)","0%","72% (n = 216)","0%","0%","16% (n = 48)",300
