"","group_id","eff1eff2","eff2minus1","rho01rho02","rho02minus01","method2","method2, method3","method2, method4_F","method2, method5_T","method3","method3, method4_F","method4_F","method5_T","n"
"33",58,"(0.3, 0.4)",0.1,"(0.1, 0.1)",0,"0%","99% (n = 297)","0%","0%","0%","0%","0%","1% (n = 3)",300
"34",59,"(0.3, 0.4)",0.1,"(0.07, 0.1)",0.03,"89.33% (n = 268)","0%","0%","0%","0%","0%","0%","10.67% (n = 32)",300
"35",60,"(0.3, 0.4)",0.1,"(0.05, 0.1)",0.05,"0.33% (n = 1)","1% (n = 3)","0%","0%","76.33% (n = 229)","0%","0%","22.33% (n = 67)",300
"36",52,"(0.28, 0.4)",0.12,"(0.1, 0.05)",-0.05,"69% (n = 207)","0%","0%","0%","0%","0%","31% (n = 93)","0%",300
"37",51,"(0.28, 0.4)",0.12,"(0.1, 0.07)",-0.03,"90.33% (n = 271)","0%","0%","0%","0%","0%","9.33% (n = 28)","0.33% (n = 1)",300
"38",53,"(0.28, 0.4)",0.12,"(0.1, 0.1)",0,"100% (n = 300)","0%","0%","0%","0%","0%","0%","0%",300
"39",54,"(0.28, 0.4)",0.12,"(0.07, 0.1)",0.03,"83.33% (n = 250)","0%","0%","0%","10.67% (n = 32)","0%","0%","6% (n = 18)",300
"40",55,"(0.28, 0.4)",0.12,"(0.05, 0.1)",0.05,"7.33% (n = 22)","0%","0%","0%","70.67% (n = 212)","0%","0%","22% (n = 66)",300
"41",77,"(0.4, 0.57)",0.17,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","66% (n = 198)","0%","34% (n = 102)","0%",300
"42",76,"(0.4, 0.57)",0.17,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","84.33% (n = 253)","0%","15.67% (n = 47)","0%",300
"43",78,"(0.4, 0.57)",0.17,"(0.1, 0.1)",0,"0%","0%","0%","0%","100% (n = 300)","0%","0%","0%",300
"44",79,"(0.4, 0.57)",0.17,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","93.33% (n = 280)","0%","0%","6.67% (n = 20)",300
"45",80,"(0.4, 0.57)",0.17,"(0.05, 0.1)",0.05,"0%","2.67% (n = 8)","0%","0%","74.67% (n = 224)","0%","0%","22.67% (n = 68)",300
"46",17,"(0.14, 0.33)",0.19,"(0.1, 0.05)",-0.05,"57.33% (n = 172)","0%","0%","0%","0%","0%","42.67% (n = 128)","0%",300
"47",16,"(0.14, 0.33)",0.19,"(0.1, 0.07)",-0.03,"68% (n = 204)","0%","0%","0%","0%","0%","32% (n = 96)","0%",300
"48",18,"(0.14, 0.33)",0.19,"(0.1, 0.1)",0,"90.33% (n = 271)","0%","0%","0%","0%","0%","9.67% (n = 29)","0%",300
"49",19,"(0.14, 0.33)",0.19,"(0.07, 0.1)",0.03,"88% (n = 264)","0%","0%","0%","0%","0%","12% (n = 36)","0%",300
"50",20,"(0.14, 0.33)",0.19,"(0.05, 0.1)",0.05,"83.33% (n = 250)","0%","0%","0%","0%","0%","16.67% (n = 50)","0%",300
"51",32,"(0.2, 0.4)",0.2,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","46% (n = 138)","0%","54% (n = 162)","0%",300
"52",31,"(0.2, 0.4)",0.2,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","64% (n = 192)","0%","36% (n = 108)","0%",300
