"","Method_1","Method_2","n","Percent"
"1","method1_bonf","method1_sidak",100,"0.22%"
"2","method1_dap","method2",10,"0.02%"
"3","method1_sidak",NA,0,"0%"
"4","method2","method3",4296,"9.55%"
"5","method2","method4_Chi2",12,"0.03%"
"6","method2","method5_MVN",2,"0%"
"7","method2",NA,6653,"14.78%"
"8","method3","method4_Chi2",1444,"3.21%"
"9","method3","method5_MVN",4,"0.01%"
"10","method3",NA,12332,"27.4%"
"11","method4_Chi2",NA,19776,"43.95%"
"12","method5_MVN",NA,371,"0.82%"
