Parameter,Value,meanDiff,minDiff,maxDiff,n
K,4,10.6,-2.9,23.4,7500
K,6,13.8,-1.4,23.4,7500
K,8,15.4,0.5,23.5,7500
K,10,16,2.4,23.5,7500
K,20,13.2,0.1,23.4,7500
K,30,10.4,0,23.4,7500
m,50,13.2,-2.9,23.5,15000
m,70,13.3,-2.7,23.5,15000
m,100,13.3,-2.5,23.4,15000
eff2minus1_group,-,12,-0.4,23.5,9000
eff2minus1_group,0,9.6,-1.6,23.3,2250
eff2minus1_group,0.05 to 0.19,11.9,-2.9,23.5,11250
eff2minus1_group,0.20 to 0.29,15.5,0.1,23.5,9000
eff2minus1_group,0.30 to 0.39,15.8,2.1,23.5,6750
eff2minus1_group,0.40 to 0.49,13,4.2,23.4,6750
RhoCase,rho01 < rho02,13.1,-2.9,23.5,18000
RhoCase,rho01 = rho02,12.6,-1.6,23.4,9000
RhoCase,rho01 > rho02,13.7,-0.4,23.5,18000
rho1,0.005,12.1,-2.9,23.4,9000
rho1,0.01,12.3,-2.2,23.4,9000
rho1,0.02,12.8,-0.8,23.4,9000
rho1,0.05,14.1,0,23.5,9000
rho1,0.07,15,0,23.5,9000
rho2,0.1,13,-2.9,23.5,9000
rho2,0.3,13.1,-2.4,23.5,9000
rho2,0.5,13.3,-1.8,23.5,9000
rho2,0.7,13.4,-1.5,23.5,9000
rho2,0.9,13.5,-1.1,23.5,9000
