"","Parameter","Value","meanDiff","minDiff","maxDiff","varDiff","n"
"1","K","10",6.7,-9.5,12.8,17.7,7500
"2","K","4",3.3,-3.2,13.6,7.5,7500
"3","K","6",4.7,-7,14.2,16.2,7500
"4","K","8",5.9,-8.9,13.4,19,7500
"5","RhoCase","rho01 < rho02",5.3,-9.5,14.2,19,12000
"6","RhoCase","rho01 = rho02",3.9,-7.8,12.6,16.1,6000
"7","RhoCase","rho01 > rho02",5.7,-6.4,14.2,13.6,12000
"8","eff2minus1_group","-",6.5,-6.4,14.2,21.1,6000
"9","eff2minus1_group","0",3.9,-7.8,13.4,25.1,1500
"10","eff2minus1_group","0.05 to 0.19",3.8,-9.5,13.6,21.5,7500
"11","eff2minus1_group","0.20 to 0.29",6.5,-0.6,14.2,13.2,6000
"12","eff2minus1_group","0.30 to 0.39",5.7,0.5,12.8,9.2,4500
"13","eff2minus1_group","0.40 to 0.49",4,1.7,9.5,2.3,4500
"14","m","100",5.4,-8.5,14.2,17.1,10000
"15","m","50",5,-9.5,13.6,16.2,10000
"16","m","70",5.2,-9,13.9,16.8,10000
"17","rho1","0.005",3.6,-9.5,13,17.3,6000
"18","rho1","0.01",3.9,-8.8,13.1,16.5,6000
"19","rho1","0.02",4.5,-7.4,13.2,15,6000
"20","rho1","0.05",6.3,-2.9,13.4,11.9,6000
"21","rho1","0.07",7.5,0.1,14.2,11.8,6000
"22","rho2","0.1",4.8,-9.5,13.4,17.3,6000
"23","rho2","0.3",5,-8.9,13.7,17,6000
"24","rho2","0.5",5.2,-8.4,13.9,16.6,6000
"25","rho2","0.7",5.4,-7.8,14.1,16.4,6000
"26","rho2","0.9",5.5,-7.3,14.2,16.1,6000
