"","Parameter","Value","meanDiff","minDiff","maxDiff","varDiff","n"
"1","K","10",16,2.4,23.5,25,7500
"2","K","4",10.6,-2.9,23.4,30.5,7500
"3","K","6",13.8,-1.4,23.4,32.1,7500
"4","K","8",15.4,0.5,23.5,28.1,7500
"5","RhoCase","rho01 < rho02",14.2,-2.9,23.5,34.3,12000
"6","RhoCase","rho01 = rho02",12.5,-1.6,23.4,34.6,6000
"7","RhoCase","rho01 > rho02",14.4,-0.4,23.5,30.2,12000
"8","eff2minus1_group","-",15.9,-0.4,23.5,29,6000
"9","eff2minus1_group","0",13.2,-1.6,23.3,28.9,1500
"10","eff2minus1_group","0.05 to 0.19",12.6,-2.9,23.5,37.6,7500
"11","eff2minus1_group","0.20 to 0.29",16,2.6,23.5,29,6000
"12","eff2minus1_group","0.30 to 0.39",14.7,2.1,23.5,32.5,4500
"13","eff2minus1_group","0.40 to 0.49",10.5,4.2,21.3,12.8,4500
"14","m","100",14.2,-2.5,23.4,33.2,10000
"15","m","50",13.8,-2.9,23.5,33.3,10000
"16","m","70",14,-2.7,23.5,33.2,10000
"17","rho1","0.005",12.2,-2.9,23.4,35.9,6000
"18","rho1","0.01",12.6,-2.2,23.4,34.3,6000
"19","rho1","0.02",13.2,-0.8,23.4,31.4,6000
"20","rho1","0.05",15.2,3.8,23.5,25.7,6000
"21","rho1","0.07",16.6,5,23.5,25,6000
"22","rho2","0.1",13.6,-2.9,23.5,34.5,6000
"23","rho2","0.3",13.8,-2.4,23.5,33.8,6000
"24","rho2","0.5",14,-1.8,23.5,33.1,6000
"25","rho2","0.7",14.2,-1.5,23.5,32.5,6000
"26","rho2","0.9",14.4,-1.1,23.5,32,6000
