"","group_id","eff2minus1_group","rho02minus01_group","method2","method2..method3","method2..method4_F","method3","method3..method4_F","method4_F","n"
"1",1,"0","rho01 < rho02","0%","0%","0%","95.17% (n = 571)","0%","4.83% (n = 29)",600
"2",2,"0","rho01 = rho02","0%","100% (n = 300)","0%","0%","0%","0%",300
"3",3,"0","rho01 > rho02","0%","0%","0%","95.17% (n = 571)","0%","4.83% (n = 29)",600
"4",4,"0.05 to 0.19","rho01 < rho02","39.5% (n = 1185)","0.43% (n = 13)","0%","57.13% (n = 1714)","0%","2.93% (n = 88)",3000
"5",5,"0.05 to 0.19","rho01 = rho02","46.33% (n = 695)","20% (n = 300)","0%","31.73% (n = 476)","0%","1.93% (n = 29)",1500
"6",6,"0.05 to 0.19","rho01 > rho02","46.9% (n = 1407)","0%","0%","31.33% (n = 940)","0%","21.77% (n = 653)",3000
"7",7,"0.20 to 0.29","rho01 < rho02","40.33% (n = 968)","0%","0%","44.88% (n = 1077)","0%","14.79% (n = 355)",2400
"8",8,"0.20 to 0.29","rho01 = rho02","17.83% (n = 214)","21.17% (n = 254)","0.08% (n = 1)","44% (n = 528)","0%","16.92% (n = 203)",1200
"9",9,"0.20 to 0.29","rho01 > rho02","9.54% (n = 229)","0%","0%","41.83% (n = 1004)","0.08% (n = 2)","48.54% (n = 1165)",2400
"10",10,"0.30 to 0.39","rho01 < rho02","18.33% (n = 330)","0%","0.06% (n = 1)","43.89% (n = 790)","0.06% (n = 1)","37.67% (n = 678)",1800
"11",11,"0.30 to 0.39","rho01 = rho02","0%","8.22% (n = 74)","0%","37.89% (n = 341)","0%","53.89% (n = 485)",900
"12",12,"0.30 to 0.39","rho01 > rho02","0%","0%","0%","19.72% (n = 355)","0.06% (n = 1)","80.22% (n = 1444)",1800
"13",13,"0.40 to 0.49","rho01 < rho02","0%","0%","0%","19% (n = 342)","0%","81% (n = 1458)",1800
"14",14,"0.40 to 0.49","rho01 = rho02","0%","0%","0%","11.78% (n = 106)","0%","88.22% (n = 794)",900
"15",15,"0.40 to 0.49","rho01 > rho02","0%","0%","0%","3.78% (n = 68)","0.06% (n = 1)","96.17% (n = 1731)",1800
