Parameter,Value,meanDiff,minDiff,maxDiff,n
K,4,12.5,2.6,31.6,7500
K,6,16.1,3.4,29.2,7500
K,8,17.8,4.4,27.2,7500
K,10,18.2,5.6,26.3,7500
K,20,14.5,0.2,24.7,7500
K,30,11.1,0,24.2,7500
m,50,14.9,0,30,15000
m,70,15,0,31,15000
m,100,15.1,0,31.6,15000
eff2minus1_group,-,15.2,0,31.5,9000
eff2minus1_group,0,13.2,0.7,28.6,2250
eff2minus1_group,0.05 to 0.19,14.2,0,31.6,11250
eff2minus1_group,0.20 to 0.29,16.9,0.2,29.2,9000
eff2minus1_group,0.30 to 0.39,16.4,3,26.8,6750
eff2minus1_group,0.40 to 0.49,12.9,4.3,24.7,6750
RhoCase,rho01 < rho02,15.1,0,31.6,18000
RhoCase,rho01 = rho02,14.2,0.7,27.3,9000
RhoCase,rho01 > rho02,15.4,0,31.5,18000
rho1,0.005,13.9,0,27.9,9000
rho1,0.01,14.1,0,28.1,9000
rho1,0.02,14.6,0,28.2,9000
rho1,0.05,15.8,0,28.6,9000
rho1,0.07,16.7,0,31.6,9000
rho2,0.1,14.8,0,28.6,9000
rho2,0.3,14.9,0,29.1,9000
rho2,0.5,15,0,29.8,9000
rho2,0.7,15.2,0,30.6,9000
rho2,0.9,15.3,0,31.6,9000
