"","group_id","beta1beta2","beta2minus1","varY1varY2","var2minus1","rho01rho02","rho02minus01","method2","method2, method3","method3","method3, method4_Chi2","method4_Chi2","n"
"33",42,"(0.3, 0.4)",0.1,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,"0%","0%","62.33% (n = 187)","0%","37.67% (n = 113)",300
"34",62,"(0.3, 0.4)",0.1,"(1, 0.5)",-0.5,"(0.07, 0.1)",0.03,"0%","0%","73.33% (n = 220)","0%","26.67% (n = 80)",300
"35",82,"(0.3, 0.4)",0.1,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,"0%","0%","79.67% (n = 239)","0%","20.33% (n = 61)",300
"36",30,"(0.3, 0.4)",0.1,"(1, 1)",0,"(0.1, 0.05)",-0.05,"0%","0%","60.33% (n = 181)","0%","39.67% (n = 119)",300
"37",10,"(0.3, 0.4)",0.1,"(1, 1)",0,"(0.1, 0.07)",-0.03,"0%","0%","81.67% (n = 245)","0%","18.33% (n = 55)",300
"38",50,"(0.3, 0.4)",0.1,"(1, 1)",0,"(0.1, 0.1)",0,"0%","100% (n = 300)","0%","0%","0%",300
"39",70,"(0.3, 0.4)",0.1,"(1, 1)",0,"(0.07, 0.1)",0.03,"100% (n = 300)","0%","0%","0%","0%",300
"40",90,"(0.3, 0.4)",0.1,"(1, 1)",0,"(0.05, 0.1)",0.05,"6.67% (n = 20)","1% (n = 3)","92.33% (n = 277)","0%","0%",300
"41",34,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"89.33% (n = 268)","0%","0%","0%","10.67% (n = 32)",300
"42",14,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.1, 0.07)",-0.03,"98.67% (n = 296)","0.33% (n = 1)","1% (n = 3)","0%","0%",300
"43",54,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.1, 0.1)",0,"0%","0%","100% (n = 300)","0%","0%",300
"44",74,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.07, 0.1)",0.03,"0%","0%","100% (n = 300)","0%","0%",300
"45",94,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,"0%","0%","81% (n = 243)","0%","19% (n = 57)",300
"46",38,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.1, 0.05)",-0.05,"24.33% (n = 73)","2% (n = 6)","73.67% (n = 221)","0%","0%",300
"47",18,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.1, 0.07)",-0.03,"0%","0%","100% (n = 300)","0%","0%",300
"48",58,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.1, 0.1)",0,"0%","0%","100% (n = 300)","0%","0%",300
"49",78,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.07, 0.1)",0.03,"0%","0%","83.33% (n = 250)","0%","16.67% (n = 50)",300
"50",98,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.05, 0.1)",0.05,"0%","0%","61% (n = 183)","0%","39% (n = 117)",300
"51",27,"(0.2, 0.4)",0.2,"(1.5, 0.5)",-1,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","100% (n = 300)",300
"52",7,"(0.2, 0.4)",0.2,"(1.5, 0.5)",-1,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","100% (n = 300)",300
"53",47,"(0.2, 0.4)",0.2,"(1.5, 0.5)",-1,"(0.1, 0.1)",0,"0%","0%","0%","0%","100% (n = 300)",300
"54",67,"(0.2, 0.4)",0.2,"(1.5, 0.5)",-1,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","100% (n = 300)",300
"55",87,"(0.2, 0.4)",0.2,"(1.5, 0.5)",-1,"(0.05, 0.1)",0.05,"0%","0%","5% (n = 15)","0%","95% (n = 285)",300
"56",23,"(0.2, 0.4)",0.2,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","100% (n = 300)",300
"57",3,"(0.2, 0.4)",0.2,"(1, 0.5)",-0.5,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","100% (n = 300)",300
"58",43,"(0.2, 0.4)",0.2,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,"0%","0%","2% (n = 6)","0%","98% (n = 294)",300
"59",63,"(0.2, 0.4)",0.2,"(1, 0.5)",-0.5,"(0.07, 0.1)",0.03,"0%","0%","14.67% (n = 44)","0.33% (n = 1)","85% (n = 255)",300
"60",83,"(0.2, 0.4)",0.2,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,"0%","0%","40% (n = 120)","0%","60% (n = 180)",300
"61",31,"(0.2, 0.4)",0.2,"(1, 1)",0,"(0.1, 0.05)",-0.05,"0%","0%","4.67% (n = 14)","0%","95.33% (n = 286)",300
"62",11,"(0.2, 0.4)",0.2,"(1, 1)",0,"(0.1, 0.07)",-0.03,"0%","0%","41.33% (n = 124)","0%","58.67% (n = 176)",300
"63",51,"(0.2, 0.4)",0.2,"(1, 1)",0,"(0.1, 0.1)",0,"0%","64.33% (n = 193)","0%","0%","35.67% (n = 107)",300
"64",71,"(0.2, 0.4)",0.2,"(1, 1)",0,"(0.07, 0.1)",0.03,"79.33% (n = 238)","0%","0%","0%","20.67% (n = 62)",300
"65",91,"(0.2, 0.4)",0.2,"(1, 1)",0,"(0.05, 0.1)",0.05,"80.67% (n = 242)","0%","0%","0%","19.33% (n = 58)",300
"66",35,"(0.2, 0.4)",0.2,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"60.33% (n = 181)","0%","0%","0%","39.67% (n = 119)",300
"67",15,"(0.2, 0.4)",0.2,"(0.5, 1)",0.5,"(0.1, 0.07)",-0.03,"81% (n = 243)","0%","0%","0%","19% (n = 57)",300
