"","group_id","beta1beta2","beta2minus1","varY1varY2","var2minus1","rho01rho02","rho02minus01","method2","method2, method3","method2, method4_F","method2, method5_T","method3","method3, method4_F","method4_F","method4_F, method5_T","method5_T","n"
"34",62,"(0.3, 0.4)",0.1,"(1, 0.5)",-0.5,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","87% (n = 262)","0%","13% (n = 38)","0%","0%",300
"35",82,"(0.3, 0.4)",0.1,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","83% (n = 249)","0%","13% (n = 40)","0%","4% (n = 11)",300
"36",30,"(0.3, 0.4)",0.1,"(1, 1)",0,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","71% (n = 214)","0%","29% (n = 86)","0%","0%",300
"37",10,"(0.3, 0.4)",0.1,"(1, 1)",0,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","89% (n = 266)","0%","8% (n = 25)","0%","3% (n = 9)",300
"38",50,"(0.3, 0.4)",0.1,"(1, 1)",0,"(0.1, 0.1)",0,"0%","99% (n = 297)","0%","0%","0%","0%","0%","0%","1% (n = 3)",300
"39",70,"(0.3, 0.4)",0.1,"(1, 1)",0,"(0.07, 0.1)",0.03,"89% (n = 268)","0%","0%","0%","0%","0%","0%","0%","11% (n = 32)",300
"40",90,"(0.3, 0.4)",0.1,"(1, 1)",0,"(0.05, 0.1)",0.05,"0% (n = 1)","1% (n = 3)","0%","0%","76% (n = 229)","0%","0%","0%","22% (n = 67)",300
"41",34,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"84% (n = 252)","0%","0%","0% (n = 1)","0%","0%","4% (n = 13)","0%","11% (n = 34)",300
"42",14,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.1, 0.07)",-0.03,"87% (n = 262)","0%","0%","0%","1% (n = 4)","0%","0%","0%","11% (n = 34)",300
"43",54,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.1, 0.1)",0,"0%","0%","0%","0%","97% (n = 290)","0%","0%","0%","3% (n = 10)",300
"44",74,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","93% (n = 279)","0%","0%","0%","7% (n = 21)",300
"45",94,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","83% (n = 249)","0%","13% (n = 39)","0%","4% (n = 12)",300
"46",38,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.1, 0.05)",-0.05,"7% (n = 22)","1% (n = 3)","0%","0%","69% (n = 206)","0%","0%","0%","23% (n = 69)",300
"47",18,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","88% (n = 263)","0%","0%","0%","12% (n = 37)",300
"48",58,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.1, 0.1)",0,"0%","0%","0%","0%","98% (n = 294)","0%","0%","0%","2% (n = 6)",300
"49",78,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","91% (n = 273)","0%","6% (n = 18)","0%","3% (n = 9)",300
"50",98,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","72% (n = 217)","0%","28% (n = 83)","0%","0%",300
"51",27,"(0.2, 0.4)",0.2,"(1.5, 0.5)",-1,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","8% (n = 23)","0%","92% (n = 277)","0%","0%",300
"52",7,"(0.2, 0.4)",0.2,"(1.5, 0.5)",-1,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","14% (n = 41)","0%","86% (n = 259)","0%","0%",300
"53",47,"(0.2, 0.4)",0.2,"(1.5, 0.5)",-1,"(0.1, 0.1)",0,"0%","0%","0%","0%","25% (n = 76)","0%","75% (n = 224)","0%","0%",300
"54",67,"(0.2, 0.4)",0.2,"(1.5, 0.5)",-1,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","35% (n = 106)","0%","65% (n = 194)","0%","0%",300
"55",87,"(0.2, 0.4)",0.2,"(1.5, 0.5)",-1,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","47% (n = 141)","0%","53% (n = 159)","0%","0%",300
"56",23,"(0.2, 0.4)",0.2,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","13% (n = 38)","0%","87% (n = 262)","0%","0%",300
