"","Method_1","Method_2","n","Percent"
"1","method1_bonf","method1_sidak",50,"0.11%"
"2","method1_dap","method2",30,"0.07%"
"3","method1_sidak",NA,0,"0%"
"4","method2","method3",4140,"9.2%"
"5","method2","method4_F",14,"0.03%"
"6","method2",NA,7620,"16.93%"
"7","method3","method4_F",1263,"2.81%"
"8","method3",NA,16029,"35.62%"
"9","method4_F",NA,15854,"35.23%"
"10","method5_T",NA,0,"0%"
