"","group_id","beta1beta2","beta2minus1","varY1varY2","var2minus1","rho01rho02","rho02minus01","method2","method2, method3","method3","method4","n"
"39",70,"(0.3, 0.4)",0.1,"(1, 1)",0,"(0.07, 0.1)",0.03,"91% (n = 409)","9% (n = 41)","0%","0%",450
"40",90,"(0.3, 0.4)",0.1,"(1, 1)",0,"(0.05, 0.1)",0.05,"6% (n = 27)","14% (n = 64)","80% (n = 360)","0% (n = 1)",450
"41",34,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"69% (n = 309)","23% (n = 104)","12% (n = 52)","20% (n = 90)",450
"42",14,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.1, 0.07)",-0.03,"76% (n = 340)","24% (n = 106)","9% (n = 41)","8% (n = 37)",450
"43",54,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.1, 0.1)",0,"0%","10% (n = 43)","93% (n = 420)","3% (n = 13)",450
"44",74,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.07, 0.1)",0.03,"0%","10% (n = 46)","99% (n = 444)","9% (n = 40)",450
"45",94,"(0.3, 0.4)",0.1,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,"0%","10% (n = 45)","84% (n = 378)","29% (n = 132)",450
"46",38,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.1, 0.05)",-0.05,"21% (n = 94)","21% (n = 95)","62% (n = 281)","4% (n = 20)",450
"47",18,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.1, 0.07)",-0.03,"0%","6% (n = 28)","94% (n = 424)","0% (n = 2)",450
"48",58,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.1, 0.1)",0,"0%","0%","100% (n = 450)","0%",450
"49",78,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.07, 0.1)",0.03,"0%","0%","89% (n = 399)","17% (n = 76)",450
"50",98,"(0.3, 0.4)",0.1,"(0.5, 1.5)",1,"(0.05, 0.1)",0.05,"0%","0% (n = 2)","68% (n = 307)","42% (n = 188)",450
"51",27,"(0.2, 0.4)",0.2,"(1.5, 0.5)",-1,"(0.1, 0.05)",-0.05,"0%","0%","16% (n = 71)","95% (n = 427)",450
"52",7,"(0.2, 0.4)",0.2,"(1.5, 0.5)",-1,"(0.1, 0.07)",-0.03,"0%","0%","17% (n = 75)","91% (n = 409)",450
"53",47,"(0.2, 0.4)",0.2,"(1.5, 0.5)",-1,"(0.1, 0.1)",0,"0%","0%","17% (n = 76)","83% (n = 374)",450
"54",67,"(0.2, 0.4)",0.2,"(1.5, 0.5)",-1,"(0.07, 0.1)",0.03,"0%","0%","24% (n = 110)","76% (n = 344)",450
"55",87,"(0.2, 0.4)",0.2,"(1.5, 0.5)",-1,"(0.05, 0.1)",0.05,"0%","0%","34% (n = 154)","69% (n = 309)",450
"56",23,"(0.2, 0.4)",0.2,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,"0%","0% (n = 2)","23% (n = 102)","92% (n = 412)",450
"57",3,"(0.2, 0.4)",0.2,"(1, 0.5)",-0.5,"(0.1, 0.07)",-0.03,"0%","0%","25% (n = 112)","85% (n = 381)",450
"58",43,"(0.2, 0.4)",0.2,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,"0%","0%","34% (n = 151)","69% (n = 309)",450
"59",63,"(0.2, 0.4)",0.2,"(1, 0.5)",-0.5,"(0.07, 0.1)",0.03,"0%","2% (n = 7)","44% (n = 200)","61% (n = 273)",450
"60",83,"(0.2, 0.4)",0.2,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,"0%","7% (n = 30)","53% (n = 240)","56% (n = 252)",450
"61",31,"(0.2, 0.4)",0.2,"(1, 1)",0,"(0.1, 0.05)",-0.05,"0%","0%","31% (n = 138)","69% (n = 312)",450
"62",11,"(0.2, 0.4)",0.2,"(1, 1)",0,"(0.1, 0.07)",-0.03,"0%","0%","46% (n = 205)","55% (n = 247)",450
"63",51,"(0.2, 0.4)",0.2,"(1, 1)",0,"(0.1, 0.1)",0,"0%","75% (n = 339)","0%","25% (n = 111)",450
"64",71,"(0.2, 0.4)",0.2,"(1, 1)",0,"(0.07, 0.1)",0.03,"82% (n = 367)","0%","0%","19% (n = 84)",450
"65",91,"(0.2, 0.4)",0.2,"(1, 1)",0,"(0.05, 0.1)",0.05,"83% (n = 375)","0%","0%","17% (n = 75)",450
"66",35,"(0.2, 0.4)",0.2,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"58% (n = 259)","8% (n = 36)","7% (n = 33)","43% (n = 194)",450
"67",15,"(0.2, 0.4)",0.2,"(0.5, 1)",0.5,"(0.1, 0.07)",-0.03,"82% (n = 367)","3% (n = 15)","0%","16% (n = 70)",450
"68",55,"(0.2, 0.4)",0.2,"(0.5, 1)",0.5,"(0.1, 0.1)",0,"100% (n = 450)","0%","0%","0%",450
"69",75,"(0.2, 0.4)",0.2,"(0.5, 1)",0.5,"(0.07, 0.1)",0.03,"84% (n = 379)","8% (n = 35)","8% (n = 36)","0%",450
"70",95,"(0.2, 0.4)",0.2,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,"28% (n = 124)","4% (n = 19)","68% (n = 307)","0%",450
"71",39,"(0.2, 0.4)",0.2,"(0.5, 1.5)",1,"(0.1, 0.05)",-0.05,"80% (n = 360)","1% (n = 4)","0%","19% (n = 86)",450
"72",19,"(0.2, 0.4)",0.2,"(0.5, 1.5)",1,"(0.1, 0.07)",-0.03,"100% (n = 449)","0%","0%","0% (n = 1)",450
"73",59,"(0.2, 0.4)",0.2,"(0.5, 1.5)",1,"(0.1, 0.1)",0,"41% (n = 186)","0% (n = 1)","58% (n = 263)","0%",450
"74",79,"(0.2, 0.4)",0.2,"(0.5, 1.5)",1,"(0.07, 0.1)",0.03,"0%","0%","100% (n = 450)","0%",450
"75",99,"(0.2, 0.4)",0.2,"(0.5, 1.5)",1,"(0.05, 0.1)",0.05,"0%","0%","98% (n = 443)","2% (n = 7)",450
"76",28,"(0.1, 0.4)",0.3,"(1.5, 0.5)",-1,"(0.1, 0.05)",-0.05,"0%","0%","7% (n = 32)","100% (n = 450)",450
"77",8,"(0.1, 0.4)",0.3,"(1.5, 0.5)",-1,"(0.1, 0.07)",-0.03,"0%","0%","0% (n = 1)","100% (n = 450)",450
"78",48,"(0.1, 0.4)",0.3,"(1.5, 0.5)",-1,"(0.1, 0.1)",0,"0%","0%","2% (n = 7)","98% (n = 443)",450
"79",68,"(0.1, 0.4)",0.3,"(1.5, 0.5)",-1,"(0.07, 0.1)",0.03,"0%","0%","3% (n = 13)","97% (n = 437)",450
"80",88,"(0.1, 0.4)",0.3,"(1.5, 0.5)",-1,"(0.05, 0.1)",0.05,"0%","0%","4% (n = 19)","96% (n = 431)",450
"81",24,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,"0%","0%","9% (n = 39)","100% (n = 450)",450
"82",4,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.1, 0.07)",-0.03,"0%","0%","2% (n = 11)","99% (n = 446)",450
"83",44,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,"0%","0%","5% (n = 23)","95% (n = 427)",450
"84",64,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.07, 0.1)",0.03,"0%","0%","6% (n = 28)","94% (n = 422)",450
"85",84,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,"0%","0%","8% (n = 35)","92% (n = 415)",450
"86",32,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.1, 0.05)",-0.05,"0%","0%","4% (n = 18)","96% (n = 432)",450
"87",12,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.1, 0.07)",-0.03,"0%","0%","8% (n = 38)","92% (n = 412)",450
"88",52,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.1, 0.1)",0,"0%","16% (n = 74)","0%","84% (n = 376)",450
"89",72,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.07, 0.1)",0.03,"34% (n = 154)","0%","0%","66% (n = 297)",450
"90",92,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.05, 0.1)",0.05,"48% (n = 215)","0%","0%","52% (n = 235)",450
"91",36,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"15% (n = 67)","0%","0%","85% (n = 383)",450
"92",16,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.1, 0.07)",-0.03,"36% (n = 164)","0%","0%","64% (n = 286)",450
"93",56,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.1, 0.1)",0,"66% (n = 296)","0%","0%","34% (n = 155)",450
"94",76,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.07, 0.1)",0.03,"70% (n = 315)","0%","0%","30% (n = 135)",450
"95",96,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,"70% (n = 314)","0%","0%","30% (n = 136)",450
"96",40,"(0.1, 0.4)",0.3,"(0.5, 1.5)",1,"(0.1, 0.05)",-0.05,"43% (n = 195)","0%","0%","57% (n = 257)",450
"97",20,"(0.1, 0.4)",0.3,"(0.5, 1.5)",1,"(0.1, 0.07)",-0.03,"64% (n = 290)","0%","0%","36% (n = 160)",450
"98",60,"(0.1, 0.4)",0.3,"(0.5, 1.5)",1,"(0.1, 0.1)",0,"84% (n = 380)","0%","0%","16% (n = 70)",450
"99",80,"(0.1, 0.4)",0.3,"(0.5, 1.5)",1,"(0.07, 0.1)",0.03,"85% (n = 381)","0%","0%","15% (n = 69)",450
"100",100,"(0.1, 0.4)",0.3,"(0.5, 1.5)",1,"(0.05, 0.1)",0.05,"82% (n = 368)","0%","0%","18% (n = 82)",450
