"","EffectCase","RhoCase","method2","method2, method3","method3","method3, method4_Chi2","method4_Chi2","method5_MVN","n"
"1","beta1/sigma1 < beta2/sigma2","rho01 < rho02","24% (n = 2145)","0% (n = 30)","34% (n = 3043)","0% (n = 3)","40% (n = 3580)","2% (n = 199)",9000
"2","beta1/sigma1 < beta2/sigma2","rho01 = rho02","19% (n = 844)","11% (n = 493)","22% (n = 981)","0% (n = 1)","48% (n = 2181)","0%",4500
"3","beta1/sigma1 < beta2/sigma2","rho01 > rho02","15% (n = 1325)","0%","12% (n = 1124)","0% (n = 14)","73% (n = 6537)","0%",9000
"4","beta1/sigma1 = beta2/sigma2","rho01 < rho02","0%","0%","92% (n = 553)","0%","8% (n = 47)","0%",600
"5","beta1/sigma1 = beta2/sigma2","rho01 = rho02","0%","100% (n = 300)","0%","0%","0%","0%",300
"6","beta1/sigma1 = beta2/sigma2","rho01 > rho02","0%","0%","92% (n = 553)","0%","8% (n = 47)","0%",600
"7","beta1/sigma1 > beta2/sigma2","rho01 < rho02","0%","0%","61% (n = 1460)","1% (n = 13)","39% (n = 927)","0%",2400
"8","beta1/sigma1 > beta2/sigma2","rho01 = rho02","0%","0%","93% (n = 1116)","0% (n = 1)","7% (n = 83)","0%",1200
"9","beta1/sigma1 > beta2/sigma2","rho01 > rho02","25% (n = 594)","1% (n = 32)","64% (n = 1542)","0% (n = 1)","6% (n = 132)","4% (n = 99)",2400
