"","EffectCase","RhoCase","method2","method2, method3","method2, method4_F","method3","method3, method4_F","method4_F","n"
"1","beta1/sigma1 < beta2/sigma2","rho01 < rho02","28% (n = 2483)","0% (n = 13)","0% (n = 1)","44% (n = 3923)","0% (n = 1)","29% (n = 2579)",9000
"2","beta1/sigma1 < beta2/sigma2","rho01 = rho02","20% (n = 909)","14% (n = 628)","0% (n = 1)","32% (n = 1451)","0%","34% (n = 1511)",4500
"3","beta1/sigma1 < beta2/sigma2","rho01 > rho02","18% (n = 1636)","0%","0%","26% (n = 2367)","0% (n = 4)","55% (n = 4993)",9000
"4","beta1/sigma1 = beta2/sigma2","rho01 < rho02","0%","0%","0%","95% (n = 571)","0%","5% (n = 29)",600
"5","beta1/sigma1 = beta2/sigma2","rho01 = rho02","0%","100% (n = 300)","0%","0%","0%","0%",300
"6","beta1/sigma1 = beta2/sigma2","rho01 > rho02","0%","0%","0%","95% (n = 571)","0%","5% (n = 29)",600
"7","beta1/sigma1 > beta2/sigma2","rho01 < rho02","0%","0%","0%","78% (n = 1867)","0%","22% (n = 533)",2400
"8","beta1/sigma1 > beta2/sigma2","rho01 = rho02","0%","0%","0%","98% (n = 1174)","0%","2% (n = 26)",1200
"9","beta1/sigma1 > beta2/sigma2","rho01 > rho02","27% (n = 651)","1% (n = 15)","0%","70% (n = 1674)","0%","2% (n = 60)",2400
