"","group_id","eff1eff2","eff2minus1","rho01rho02","rho02minus01","method2","method2, method3","method2, method4_F","method3","method3, method4_F","method4_F","n"
"51",32,"(0.2, 0.4)",0.2,"(0.1, 0.05)",-0.05,"0%","0%","0%","46% (n = 138)","0%","54% (n = 162)",300
"52",31,"(0.2, 0.4)",0.2,"(0.1, 0.07)",-0.03,"0%","0%","0%","64% (n = 192)","0%","36% (n = 108)",300
"53",33,"(0.2, 0.4)",0.2,"(0.1, 0.1)",0,"0%","85% (n = 254)","0%","0%","0%","15% (n = 46)",300
"54",34,"(0.2, 0.4)",0.2,"(0.07, 0.1)",0.03,"88% (n = 263)","0%","0%","0%","0%","12% (n = 37)",300
"55",35,"(0.2, 0.4)",0.2,"(0.05, 0.1)",0.05,"86% (n = 257)","0%","0%","0%","0%","14% (n = 43)",300
"56",67,"(0.33, 0.57)",0.24,"(0.1, 0.05)",-0.05,"0%","0%","0%","52% (n = 156)","0%","48% (n = 144)",300
"57",66,"(0.33, 0.57)",0.24,"(0.1, 0.07)",-0.03,"0%","0%","0%","67% (n = 202)","0%","33% (n = 98)",300
"58",68,"(0.33, 0.57)",0.24,"(0.1, 0.1)",0,"0%","0%","0%","91% (n = 274)","0%","9% (n = 26)",300
"59",69,"(0.33, 0.57)",0.24,"(0.07, 0.1)",0.03,"0%","0%","0%","94% (n = 282)","0%","6% (n = 18)",300
"60",70,"(0.33, 0.57)",0.24,"(0.05, 0.1)",0.05,"0%","0%","0%","92% (n = 276)","0%","8% (n = 24)",300
"61",22,"(0.14, 0.4)",0.26,"(0.1, 0.05)",-0.05,"22% (n = 67)","0%","0%","0%","0%","78% (n = 233)",300
"62",21,"(0.14, 0.4)",0.26,"(0.1, 0.07)",-0.03,"54% (n = 162)","0%","0%","0%","0%","46% (n = 138)",300
"63",23,"(0.14, 0.4)",0.26,"(0.1, 0.1)",0,"71% (n = 214)","0%","0% (n = 1)","0%","0%","28% (n = 85)",300
"64",24,"(0.14, 0.4)",0.26,"(0.07, 0.1)",0.03,"75% (n = 225)","0%","0%","0%","0%","25% (n = 75)",300
"65",25,"(0.14, 0.4)",0.26,"(0.05, 0.1)",0.05,"74% (n = 223)","0%","0%","0%","0%","26% (n = 77)",300
"66",62,"(0.3, 0.57)",0.27,"(0.1, 0.05)",-0.05,"0%","0%","0%","41% (n = 124)","1% (n = 2)","58% (n = 174)",300
"67",61,"(0.3, 0.57)",0.27,"(0.1, 0.07)",-0.03,"0%","0%","0%","64% (n = 192)","0%","36% (n = 108)",300
"68",63,"(0.3, 0.57)",0.27,"(0.1, 0.1)",0,"0%","0%","0%","85% (n = 254)","0%","15% (n = 46)",300
"69",64,"(0.3, 0.57)",0.27,"(0.07, 0.1)",0.03,"0%","0%","0%","87% (n = 262)","0%","13% (n = 38)",300
"70",65,"(0.3, 0.57)",0.27,"(0.05, 0.1)",0.05,"0%","0%","0%","86% (n = 257)","0%","14% (n = 43)",300
"71",7,"(0.1, 0.4)",0.3,"(0.1, 0.05)",-0.05,"0%","0%","0%","6% (n = 18)","0%","94% (n = 282)",300
"72",6,"(0.1, 0.4)",0.3,"(0.1, 0.07)",-0.03,"0%","0%","0%","13% (n = 38)","0%","87% (n = 262)",300
"73",8,"(0.1, 0.4)",0.3,"(0.1, 0.1)",0,"0%","25% (n = 74)","0%","0%","0%","75% (n = 226)",300
"74",9,"(0.1, 0.4)",0.3,"(0.07, 0.1)",0.03,"51% (n = 153)","0%","0% (n = 1)","0%","0%","49% (n = 146)",300
"75",10,"(0.1, 0.4)",0.3,"(0.05, 0.1)",0.05,"59% (n = 177)","0%","0%","0%","0%","41% (n = 123)",300
"76",42,"(0.24, 0.57)",0.33,"(0.1, 0.05)",-0.05,"0%","0%","0%","23% (n = 68)","0%","77% (n = 232)",300
"77",41,"(0.24, 0.57)",0.33,"(0.1, 0.07)",-0.03,"0%","0%","0%","41% (n = 124)","0% (n = 1)","58% (n = 175)",300
"78",43,"(0.24, 0.57)",0.33,"(0.1, 0.1)",0,"0%","0%","0%","67% (n = 200)","0%","33% (n = 100)",300
"79",44,"(0.24, 0.57)",0.33,"(0.07, 0.1)",0.03,"0%","0%","0%","69% (n = 208)","0%","31% (n = 92)",300
"80",45,"(0.24, 0.57)",0.33,"(0.05, 0.1)",0.05,"0%","0%","0%","72% (n = 217)","0%","28% (n = 83)",300
"81",37,"(0.2, 0.57)",0.37,"(0.1, 0.05)",-0.05,"0%","0%","0%","13% (n = 38)","0%","87% (n = 262)",300
"82",36,"(0.2, 0.57)",0.37,"(0.1, 0.07)",-0.03,"0%","0%","0%","23% (n = 69)","0%","77% (n = 231)",300
"83",38,"(0.2, 0.57)",0.37,"(0.1, 0.1)",0,"0%","0%","0%","47% (n = 141)","0%","53% (n = 159)",300
"84",39,"(0.2, 0.57)",0.37,"(0.07, 0.1)",0.03,"0%","0%","0%","59% (n = 177)","0% (n = 1)","41% (n = 122)",300
"85",40,"(0.2, 0.57)",0.37,"(0.05, 0.1)",0.05,"0%","0%","0%","63% (n = 188)","0%","37% (n = 112)",300
"86",27,"(0.16, 0.57)",0.41,"(0.1, 0.05)",-0.05,"0%","0%","0%","8% (n = 23)","0%","92% (n = 277)",300
"87",26,"(0.16, 0.57)",0.41,"(0.1, 0.07)",-0.03,"0%","0%","0%","14% (n = 41)","0%","86% (n = 259)",300
"88",28,"(0.16, 0.57)",0.41,"(0.1, 0.1)",0,"0%","0%","0%","25% (n = 76)","0%","75% (n = 224)",300
"89",29,"(0.16, 0.57)",0.41,"(0.07, 0.1)",0.03,"0%","0%","0%","35% (n = 106)","0%","65% (n = 194)",300
"90",30,"(0.16, 0.57)",0.41,"(0.05, 0.1)",0.05,"0%","0%","0%","47% (n = 141)","0%","53% (n = 159)",300
"91",12,"(0.1, 0.57)",0.47,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","0%","100% (n = 300)",300
"92",11,"(0.1, 0.57)",0.47,"(0.1, 0.07)",-0.03,"0%","0%","0%","1% (n = 4)","0% (n = 1)","98% (n = 295)",300
"93",13,"(0.1, 0.57)",0.47,"(0.1, 0.1)",0,"0%","0%","0%","8% (n = 23)","0%","92% (n = 277)",300
"94",14,"(0.1, 0.57)",0.47,"(0.07, 0.1)",0.03,"0%","0%","0%","9% (n = 28)","0%","91% (n = 272)",300
"95",15,"(0.1, 0.57)",0.47,"(0.05, 0.1)",0.05,"0%","0%","0%","12% (n = 35)","0%","88% (n = 265)",300
"96",2,"(0.08, 0.57)",0.49,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","0%","100% (n = 300)",300
"97",1,"(0.08, 0.57)",0.49,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","0%","100% (n = 300)",300
"98",3,"(0.08, 0.57)",0.49,"(0.1, 0.1)",0,"0%","0%","0%","2% (n = 7)","0%","98% (n = 293)",300
"99",4,"(0.08, 0.57)",0.49,"(0.07, 0.1)",0.03,"0%","0%","0%","4% (n = 13)","0%","96% (n = 287)",300
"100",5,"(0.08, 0.57)",0.49,"(0.05, 0.1)",0.05,"0%","0%","0%","6% (n = 19)","0%","94% (n = 281)",300
